#### Celtic Artifacts ;;;;;;;;;;;;;;x,,,,,,,,,,
silver_hand_of_nuada;Silver Hand of Nuada;Main d'argent de Nuada;;;;;;;;;;;;x,,,,,,,,,,
silver_hand_of_nuada_desc;This ornate prosthetic hand is crafted from purest silver and covered in elaborate runes and filigree. According to legend, this is the very silver hand that was made by Creidnhe and attached by Dian Cecht to replace the great King Nuada's hand, lost in battle to the Fir Bolg champion Sreng.;Cette main prothétique ornée est fabriquée en argent pur et couverte de runes et de filigranes élaborés. Selon la légende, c'est la main très argentée qui a été faite par Creidnhe et attachée par Dian Cecht pour remplacer la main du grand roi Nuada, perdue au combat contre le champion de Fir Bolg Sreng.;;;;;;;;;;;;x,,,,,,
spear_of_lugh;Gae Assail;Gae Assail;;;;;;;;;;;;x,,,,,,,,,,
spear_of_lugh_desc;The spear of Lugh," Gae Assail is said to be ""impossible to overcome"" and that certain magic words could guarantee it would hit it's target when thrown and to have it return magically to the wielders hands.;La lance de Lugh", Gae Assail," est dite ""impossible à vaincre"" et que certains mots magiques pourraient garantir qu'elle atteindrait sa cible une fois lancée et qu'elle reviendrait magiquement entre les mains des maîtres.;;;;;;;;;;;;x",,,,,,,
trident_of_britannia;Y Tair Tonnau;Y Tair Tonnau;;;;;;;;;;;;x,,,,,,,,,,
trident_of_britannia_desc;The Three Waves, the trident of Britannia. Britannic scripture says Britannia used Y Tair Tonnau to create the world out of the primordial ocean. The first prong raised the land from the depths, the second created the lakes and rivers, the third created life. The trident knows it's true master is The Holy Mother, and will not give it's tremendous powers to anyone else. Even without such powerful magic, The Three Waves is a formidable weapon.;Les Trois Vagues, le trident de Britannia. Les écritures britanniques disent que Britannia a utilisé Y Tair Tonnau pour créer le monde à partir de l'océan primordial. Le premier volet a soulevé la terre des profondeurs, le deuxième a créé les lacs et les rivières, le troisième a créé la vie. Le trident sait que son vrai maître est la Sainte Mère, et qu'il ne donnera pas ses énormes pouvoirs à qui que ce soit d'autre. Même sans une telle magie puissante, Les Trois Vagues est une arme redoutable.;;;;;;;;;;;;x
helm_of_britannia;Britannia's Helm;Heaume de Britannia;;;;;;;;;;;;x,,,,,,,,,,
helm_of_britannia_desc;This Corinthian style helmet is covered in beautiful imagery of waves and clouds. Many say this is the helm of the Holy Mother herself.;Ce casque de style corinthien est couvert de belles images de vagues et de nuages. Beaucoup disent que c'est le heaume de la Sainte Mère elle-même.;;;;;;;;;;;;x,,,,,,,,,,
shield_of_britannia;Britannia's Shield;Bouclier de Britannia;;;;;;;;;;;;x,,,,,,,,,,
shield_of_britannia_desc;This large oval shield is made of bronze masterfully crafted onto a back of superb oak. The front bears an image of the white cliffs of Dover holding back a large wave. This shield is said to have been gifted to a mortal champion by Britannia herself.;Ce grand bouclier ovale est fait de bronze magistralement façonné sur un fond de chêne superbe. Le front porte une image des falaises blanches de Douvres qui retiennent une grande vague. Ce bouclier aurait été offert à un champion mortel par Britannia elle-même.;;;;;;;;;;;;x,,,,,,,,,,
skull_of_brigid;Skull of Brigid;Crâne de Brigid;;;;;;;;;;;;x,,,,,,,,,,
skull_of_brigid_desc;This plain skull is held in an ornate box that claims the contents to be the remains of none other than Brigid, considered a goddess by the Druids and a saint to Christians and Britannia's followers alike.;Ce crâne simple est tenu dans une boîte ornée qui prétend que le contenu n'est autre que celui de Brigid, considérée comme une déesse par les Druides et un saint pour les chrétiens et les disciples de Britannia.;;;;;;;;;;;;x,,,,,,,,
horn_of_bran_galed;Horn of Bran Galed;Corne de Bran Galed;;;;;;;;;;;;x,,,,,,,,,,
